klink Steel
klang Steel
klinklang Steel
tynamo Electric
eelektrik Electric
eelektross Electric
elgyem Psychic
beheeyem Psychic
litwick Ghost
lampent Ghost
chandelure Ghost
axew Dragon
fraxure Dragon
haxorus Dragon
cubchoo Ice
beartic Ice
cryogonal Ice
shelmet Bug
accelgor Bug
stunfisk Ground
mienfoo Fighting
mienshao Fighting
druddigon Dragon
golett Ground
golurk Ground
pawniard Dark
bisharp Dark
bouffalant Normal
rufflet Normal
braviary Normal
vullaby Dark
mandibuzz Dark
heatmor Fire
durant Bug
deino Dark
zweilous Dark
hydreigon Dark
larvesta Bug
volcarona Bug
cobalion Steel
terrakion Rock
virizion Grass
tornadus-incarnate Flying
thundurus-incarnate Electric
reshiram Dragon
zekrom Dragon
landorus-incarnate Ground
kyurem Dragon
keldeo-ordinary Water
meloetta-aria Normal
genesect Bug
chespin Grass
quilladin Grass
chesnaught Grass
fennekin Fire
braixen Fire
delphox Fire
froakie Water
frogadier Water
greninja Water
bunnelby Normal
diggersby Normal
fletchling Normal
fletchinder Fire
talonflame Fire
scatterbug Bug
spewpa Bug
vivillon Bug
litleo Fire
pyroar Fire
flabebe Fairy
floette Fairy
florges Fairy
skiddo Grass
gogoat Grass
pancham Fighting
pangoro Fighting
furfrou Normal
espurr Psychic
meowstic-male Psychic
honedge Steel
doublade Steel
aegislash-blade Steel
spritzee Fairy
aromatisse Fairy
swirlix Fairy
slurpuff Fairy
inkay Dark
malamar Dark
binacle Rock
barbaracle Rock
skrelp Poison
dragalge Poison
clauncher Water
clawitzer Water
helioptile Electric
heliolisk Electric
tyrunt Rock
tyrantrum Rock
amaura Rock
aurorus Rock
sylveon Fairy
hawlucha Fighting
dedenne Electric
carbink Rock
goomy Dragon
sliggoo Dragon
goodra Dragon
klefki Steel
phantump Ghost
trevenant Ghost
pumpkaboo-average Ghost
gourgeist-average Ghost
bergmite Ice
avalugg Ice
noibat Flying
noivern Flying
xerneas Fairy
yveltal Dark
zygarde-50 Dragon
diancie Rock
hoopa-confined Psychic
volcanion Fire
rowlet Grass
dartrix Grass
decidueye Grass
litten Fire
torracat Fire
incineroar Fire
popplio Water
brionne Water
primarina Water
pikipek Normal
trumbeak Normal
toucannon Normal
yungoos Normal
gumshoos Normal
grubbin Bug
charjabug Bug
vikavolt Bug
crabrawler Fighting
crabominable Fighting
oricorio-baile Fire
cutiefly Bug
ribombee Bug
rockruff Rock
lycanroc-midday Rock
wishiwashi-solo Water
mareanie Poison
toxapex Poison
mudbray Ground
mudsdale Ground
dewpider Water
araquanid Water
fomantis Grass
lurantis Grass
morelull Grass
shiinotic Grass
salandit Poison
salazzle Poison
stufful Normal
bewear Normal
bounsweet Grass
steenee Grass
tsareena Grass
comfey Fairy
oranguru Normal
passimian Fighting
wimpod Bug
golisopod Bug
sandygast Ghost
palossand Ghost
pyukumuku Water
type-null Normal
silvally Normal
minior-meteor Rock
komala Normal
turtonator Fire
togedemaru Electric
mimikyu Ghost
bruxish Water
drampa Normal
dhelmise Ghost
jangmo-o Dragon
hakamo-o Dragon
kommo-o Dragon
tapu-koko Electric
tapu-lele Psychic
tapu-bulu Grass
tapu-fini Water
cosmog Psychic
cosmoem Psychic
solgaleo Psychic
lunala Psychic
nihilego Rock
buzzwole Bug
pheromosa Bug
xurkitree Electric
celesteela Steel
kartana Grass
guzzlord Dark
necrozma Psychic
magearna Steel
marshadow Fighting
poipole Poison
naganadel Poison
stakataka Rock
blacephalon Fire
zeraora Electric
meltan Steel
melmetal Steel
